,Player,Age,Team,Shot Type,FGM,FGA,FG%,X Coordinate,Y Coordinate
619,Brice Sensabaugh,20,UTA,Paint (-Rest),26,55,47.3,-10,50
620,Brook Lopez,36,MIL,Paint (-Rest),42,96,43.8,-10,50
621,Bruce Brown,27,TOR,Paint (-Rest),72,182,39.6,-10,50
622,Bruno Fernando,25,ATL,Paint (-Rest),19,50,38.0,-10,50
623,Bryce McGowens,21,CHA,Paint (-Rest),10,24,41.7,-10,50
624,Buddy Boeheim,24,DET,Paint (-Rest),0,1,0.0,-10,50
625,Buddy Hield,31,PHI,Paint (-Rest),26,61,42.6,-10,50
626,CJ McCollum,32,NOP,Paint (-Rest),105,218,48.2,-10,50
627,Cade Cunningham,22,DET,Paint (-Rest),116,277,41.9,-10,50
628,Caleb Houstan,21,ORL,Paint (-Rest),2,3,66.7,-10,50
629,Caleb Martin,28,MIA,Paint (-Rest),42,98,42.9,-10,50
630,Cam Reddish,24,LAL,Paint (-Rest),7,27,25.9,-10,50
631,Cam Thomas,22,BKN,Paint (-Rest),140,313,44.7,-10,50
632,Cam Whitmore,19,HOU,Paint (-Rest),23,61,37.7,-10,50
633,Cameron Johnson,28,BKN,Paint (-Rest),33,76,43.4,-10,50
634,Cameron Payne,29,PHI,Paint (-Rest),46,87,52.9,-10,50
635,Caris LeVert,29,CLE,Paint (-Rest),65,187,34.8,-10,50
636,Cason Wallace,20,OKC,Paint (-Rest),20,57,35.1,-10,50
637,Cedi Osman,29,SAS,Paint (-Rest),18,46,39.1,-10,50
638,Charles Bassey,23,SAS,Paint (-Rest),7,8,87.5,-10,50
639,Charlie Brown Jr.,27,NYK,Paint (-Rest),0,2,0.0,-10,50
640,Chet Holmgren,22,OKC,Paint (-Rest),98,192,51.0,-10,50
641,Chimezie Metu,27,DET,Paint (-Rest),24,51,47.1,-10,50
642,Chris Boucher,31,TOR,Paint (-Rest),8,20,40.0,-10,50
643,Chris Duarte,27,SAC,Paint (-Rest),9,23,39.1,-10,50
644,Chris Livingston,20,MIL,Paint (-Rest),2,4,50.0,-10,50
645,Chris Paul,39,GSW,Paint (-Rest),45,85,52.9,-10,50
646,Christian Braun,23,DEN,Paint (-Rest),26,82,31.7,-10,50
647,Christian Wood,28,LAL,Paint (-Rest),19,51,37.3,-10,50
648,Chuma Okeke,25,ORL,Paint (-Rest),3,6,50.0,-10,50
649,Clint Capela,30,ATL,Paint (-Rest),57,128,44.5,-10,50
650,Coby White,24,CHI,Paint (-Rest),70,184,38.0,-10,50
651,Cody Martin,28,CHA,Paint (-Rest),7,25,28.0,-10,50
652,Cody Zeller,31,NOP,Paint (-Rest),3,11,27.3,-10,50
653,Colby Jones,22,SAC,Paint (-Rest),14,25,56.0,-10,50
654,Cole Anthony,24,ORL,Paint (-Rest),92,195,47.2,-10,50
655,Cole Swider,25,MIA,Paint (-Rest),1,3,33.3,-10,50
656,Colin Castleton,24,LAL,Paint (-Rest),1,4,25.0,-10,50
657,Collin Gillespie,25,DEN,Paint (-Rest),4,8,50.0,-10,50
658,Collin Sexton,25,UTA,Paint (-Rest),146,339,43.1,-10,50
659,Corey Kispert,25,WAS,Paint (-Rest),44,100,44.0,-10,50
660,Cory Joseph,32,GSW,Paint (-Rest),4,9,44.4,-10,50
661,Craig Porter Jr.,24,CLE,Paint (-Rest),30,60,50.0,-10,50
662,D'Angelo Russell,28,LAL,Paint (-Rest),90,224,40.2,-10,50
663,D'Moi Hodge,25,LAL,Paint (-Rest),0,0,0.0,-10,50
664,D.J. Carton,23,TOR,Paint (-Rest),1,2,50.0,-10,50
665,D.J. Wilson,28,ORL,Paint (-Rest),0,2,0.0,-10,50
666,DaQuan Jeffries,26,NYK,Paint (-Rest),2,4,50.0,-10,50
667,Daishen Nix,22,MIN,Paint (-Rest),1,5,20.0,-10,50
668,Dalano Banton,24,POR,Paint (-Rest),39,109,35.8,-10,50
669,Dalen Terry,21,CHI,Paint (-Rest),6,14,42.9,-10,50
670,Damian Jones,29,CLE,Paint (-Rest),6,11,54.5,-10,50
671,Damian Lillard,33,MIL,Paint (-Rest),59,161,36.6,-10,50
672,Daniel Gafford,25,DAL,Paint (-Rest),44,92,47.8,-10,50
673,Daniel Theis,32,LAC,Paint (-Rest),30,66,45.5,-10,50
674,Danilo Gallinari,35,MIL,Paint (-Rest),10,24,41.7,-10,50
675,Danny Green,37,PHI,Paint (-Rest),0,0,0.0,-10,50
676,Dante Exum,28,DAL,Paint (-Rest),22,59,37.3,-10,50
677,Danuel House Jr.,31,PHI,Paint (-Rest),2,9,22.2,-10,50
678,Dario Saric,30,GSW,Paint (-Rest),33,80,41.3,-10,50
679,Dariq Whitehead,19,BKN,Paint (-Rest),1,2,50.0,-10,50
680,Darius Bazley,24,UTA,Paint (-Rest),5,8,62.5,-10,50
681,Darius Garland,24,CLE,Paint (-Rest),85,194,43.8,-10,50
682,David Duke Jr.,24,SAS,Paint (-Rest),1,1,100.0,-10,50
683,David Roddy,23,PHX,Paint (-Rest),23,71,32.4,-10,50
684,Davion Mitchell,25,SAC,Paint (-Rest),22,57,38.6,-10,50
685,Davis Bertans,31,CHA,Paint (-Rest),2,3,66.7,-10,50
686,Day'Ron Sharpe,22,BKN,Paint (-Rest),20,50,40.0,-10,50
687,De'Aaron Fox,26,SAC,Paint (-Rest),249,486,51.2,-10,50
688,De'Andre Hunter,26,ATL,Paint (-Rest),49,109,45.0,-10,50
689,De'Anthony Melton,26,PHI,Paint (-Rest),12,38,31.6,-10,50
690,DeAndre Jordan,35,DEN,Paint (-Rest),4,11,36.4,-10,50
691,DeJon Jarreau,26,MEM,Paint (-Rest),6,16,37.5,-10,50
692,DeMar DeRozan,34,CHI,Paint (-Rest),144,280,51.4,-10,50
693,Dean Wade,27,CLE,Paint (-Rest),1,5,20.0,-10,50
694,Deandre Ayton,25,POR,Paint (-Rest),131,278,47.1,-10,50
695,Dejounte Murray,27,ATL,Paint (-Rest),164,341,48.1,-10,50
696,Delon Wright,32,MIA,Paint (-Rest),14,47,29.8,-10,50
697,Deni Avdija,23,WAS,Paint (-Rest),57,177,32.2,-10,50
698,Dennis Schroder,30,BKN,Paint (-Rest),59,162,36.4,-10,50
699,Dennis Smith Jr.,26,BKN,Paint (-Rest),13,51,25.5,-10,50
700,Dereck Lively II,20,DAL,Paint (-Rest),23,47,48.9,-10,50
701,Dereon Seabron,24,NOP,Paint (-Rest),1,3,33.3,-10,50
702,Derrick Jones Jr.,27,DAL,Paint (-Rest),26,60,43.3,-10,50
703,Derrick Rose,35,MEM,Paint (-Rest),16,49,32.7,-10,50
704,Derrick White,29,BOS,Paint (-Rest),72,162,44.4,-10,50
705,Desmond Bane,26,MEM,Paint (-Rest),44,115,38.3,-10,50
706,Devin Booker,27,PHX,Paint (-Rest),152,287,53.0,-10,50
707,Devin Vassell,23,SAS,Paint (-Rest),86,163,52.8,-10,50
708,Devonte' Graham,29,SAS,Paint (-Rest),3,8,37.5,-10,50
709,Dexter Dennis,25,DAL,Paint (-Rest),2,2,100.0,-10,50
710,Dillon Brooks,28,HOU,Paint (-Rest),60,160,37.5,-10,50
711,Domantas Sabonis,28,SAC,Paint (-Rest),143,299,47.8,-10,50
712,Dominick Barlow,21,SAS,Paint (-Rest),14,31,45.2,-10,50
713,Donovan Mitchell,27,CLE,Paint (-Rest),65,160,40.6,-10,50
714,Donte DiVincenzo,27,NYK,Paint (-Rest),40,85,47.1,-10,50
715,Dorian Finney-Smith,31,BKN,Paint (-Rest),12,35,34.3,-10,50
716,Doug McDermott,32,IND,Paint (-Rest),5,12,41.7,-10,50
717,Draymond Green,34,GSW,Paint (-Rest),35,88,39.8,-10,50
718,Drew Eubanks,27,PHX,Paint (-Rest),38,90,42.2,-10,50
719,Drew Peterson,24,BOS,Paint (-Rest),0,0,0.0,-10,50
720,Dru Smith,26,MIA,Paint (-Rest),2,4,50.0,-10,50
721,Duncan Robinson,30,MIA,Paint (-Rest),39,84,46.4,-10,50
722,Duop Reath,28,POR,Paint (-Rest),39,96,40.6,-10,50
723,Dwight Powell,32,DAL,Paint (-Rest),4,11,36.4,-10,50
724,Dylan Windler,27,ATL,Paint (-Rest),0,1,0.0,-10,50
725,Dyson Daniels,21,NOP,Paint (-Rest),37,78,47.4,-10,50
726,E.J. Liddell,23,NOP,Paint (-Rest),0,0,0.0,-10,50
727,Emoni Bates,20,CLE,Paint (-Rest),0,2,0.0,-10,50
728,Eric Gordon,35,PHX,Paint (-Rest),29,77,37.7,-10,50
729,Eugene Omoruyi,27,WAS,Paint (-Rest),10,28,35.7,-10,50
730,Evan Fournier,31,DET,Paint (-Rest),22,41,53.7,-10,50
731,Evan Mobley,23,CLE,Paint (-Rest),75,169,44.4,-10,50
732,Filip Petrusev,24,PHI,Paint (-Rest),1,2,50.0,-10,50
733,Frank Ntilikina,25,CHA,Paint (-Rest),0,0,0.0,-10,50
734,Franz Wagner,22,ORL,Paint (-Rest),110,259,42.5,-10,50
735,Fred VanVleet,30,HOU,Paint (-Rest),53,127,41.7,-10,50
736,Furkan Korkmaz,26,PHI,Paint (-Rest),4,12,33.3,-10,50
737,GG Jackson,19,MEM,Paint (-Rest),20,67,29.9,-10,50
738,Gabe Vincent,28,LAL,Paint (-Rest),3,4,75.0,-10,50
739,Garrett Temple,38,TOR,Paint (-Rest),0,3,0.0,-10,50
740,Garrison Mathews,27,ATL,Paint (-Rest),4,13,30.8,-10,50
741,Gary Harris,29,ORL,Paint (-Rest),14,27,51.9,-10,50
742,Gary Payton II,31,GSW,Paint (-Rest),17,36,47.2,-10,50
743,Gary Trent Jr.,25,TOR,Paint (-Rest),55,131,42.0,-10,50
744,Georges Niang,31,CLE,Paint (-Rest),58,114,50.9,-10,50
745,Giannis Antetokounmpo,29,MIL,Paint (-Rest),81,218,37.2,-10,50
746,Goga Bitadze,24,ORL,Paint (-Rest),13,25,52.0,-10,50
747,Gordon Hayward,34,OKC,Paint (-Rest),40,105,38.1,-10,50
748,Gradey Dick,20,TOR,Paint (-Rest),17,43,39.5,-10,50
749,Grant Williams,25,CHA,Paint (-Rest),36,94,38.3,-10,50
750,Grayson Allen,28,PHX,Paint (-Rest),33,78,42.3,-10,50
751,Greg Brown III,22,DAL,Paint (-Rest),0,1,0.0,-10,50
752,Gui Santos,22,GSW,Paint (-Rest),3,7,42.9,-10,50
753,Hamidou Diallo,25,WAS,Paint (-Rest),0,0,0.0,-10,50
754,Harrison Barnes,32,SAC,Paint (-Rest),67,143,46.9,-10,50
755,Harry Giles III,26,LAL,Paint (-Rest),2,7,28.6,-10,50
756,Haywood Highsmith,27,MIA,Paint (-Rest),25,45,55.6,-10,50
